Appellation,Domaine,Cuvée,Année
2763,Clos Saint Fiacre,,2020
2765,Clos Saint Fiacre ,Cuvée Excellence,2014
2450,Clos Saint Sebastien,Inspiration Marine,2015
2890,Clos San Quilico,,2016
876,Clos Trimoulet,,2004
1550,Closerie des Alisiers,,2010
3147,Combe d'or,,2009
1080,Cornu,,2018
1445,Cornu,,2018
3234,Corri d'ansa,,2009
876,Cote Rocheuse,,2010
2792,Coulée de Serrant,,2016
3027,cristia,,2007
3198,Cuvée de l'ancêtre,,2015
1096,Cuvée Henry de Vezelay,,2011
1150,Debray,,2014
1079,Domaine Bertagna, « Les dames Huguette »,2008
2782,Domaine Bizet , Dollium,2013
2954,Domaine Bois de Boursan,,2009
1069,Domaine Borgnat , Chateau d’Escolives,2012
1069,Domaine Borgnat , Tête de cuvée,2013
3047,Domaine Brusset,,2015
2978,Domaine Brusset , Les travers,2014
3027,Domaine Brusset , les Hauts de Montmirail,2015
3047,Domaine Chamfort,,2014
2822,Domaine d’orfeuilles,,2007
2754,Domaine David,Vieilles Vignes,2020
2754,Domaine David,Vieilles Vignes,2017
2754,Domaine David, cuvée les barboires,2011
2536,Domaine de Barroubie,,1997
2954,Domaine de Beaurenard,,2011
3241,Domaine de bernasse,,1995
3065,Domaine de Fondrèche,,2012
808,Domaine de la Caleche,,2013
3027,Domaine de la Daysse,,2010
1657,Domaine de la framboisière, Vieilles Vignes,2012
2499,Domaine de la Garance , Les Armières,2013
2499,Domaine de la Garance , Les Armières,2011
2970,Domaine de la Janasse , Viognier,2014
870,Domaine de la Solitude,,2013
2820,Domaine de la taille aux loups , clos de la bretonniere,2014
808,domaine de Leyre-Loup,,2012
3059,Domaine de Montvac , Arabesque,2012
2678,Domaine de Noiré,Amphora,2015
2680,Domaine de Noiré,Caractère,2005
653,Domaine de Thulon,,2018
810,Domaine de Thulon,,2015
806,Domaine de Thulon,,2020
653,Domaine de Thulon,,2020
653,Domaine de Thulon,Viognier,2020
2863,Domaine de Toasc,Rosé,2016
1097,Domaine de Vilaine,,2018
2954,Domaine de Villeneuve,Vieilles Vignes,2009
3027,Domaine des Espiers,,2012
2789,Domaine des Hautes Vignes ,Vieilles Vignes,2014
2789,Domaine des Hautes Vignes ,Vieilles Vignes,2018
2666,Domaine des petits quarts ,Melleresses,2013
3263,Domaine du Boiron,,2010
2960,Domaine du Chene,,2018
3053,Domaine du Chene,,2016
2463,Domaine du clos des fées , Vieilles Vignes,2011
2791,Domaine du closel , Cuvée Papillon,2009
2752,Domaine du Cray,,2009
2785,Domaine du Hureau,,2012
2821,Domaine du Margalleau,,2010
2822,Domaine du margalleau,,2010
2822,Domaine du Margalleau,,2011
2822,Domaine du Margalleau,Cuvée Prestige,2007
2822,Domaine du Margalleau,,2019
2820,Domaine du Margalleau,,2010
3238,Domaine du Pouey (Lanusse),,2006
2782,Domaine du Pré Semelé,La montée de Saint Romble,2018
1308,Domaine du Préau,,2008
2816,Domaine du Roy , Côt,2013
2803,Domaine du Roy , Esquisse,2014
1470,Domaine Edmond Cornu & Fils , Clos Diconne,2013
897,Domaine Edmond Cornu & Fils ,,2009
1438,Domaine Fabrice & Rolland Massé,,2015
2791,Domaine FL , Chamboureau,2010
2821,Domaine Margalleau,,2003
1657,Domaine Meix Foulot,,2013
2465,Domaine Modat,Comme Avant,2016
2465,Domaine Modat , Comme avant,2012
2465,Domaine Modat , Comme avant,2011
2960,Domaine Mouton,Cote Chatillon,2018
3235,Domaine Peyrette,,2008
3235,Domaine Peyrette,,2006
3235,Domaine Peyrette,,2010
3235,Domaine Peyrette, Petit Manseng,2010
3235,Domaine Peyrette,Petit Manseng,2010
3235,Domaine Peyrette,Petit Manseng,2011
2954,Domaine Pierre Usseglio,,2009
3053,Domaine Richard,Mêverie,2015
4,Domaine Weinbach,Cuvée Théo,2016
10,Domaine Weinbach,Cuvée Colette,2016
2325,Drappier Millésimé,,2015
3135,Dupasquier,cuvée Altesse,2017
3137,Dupasquier,Marestel,2017
3152,Dupasquier,Mondeuse Blanche,2018
2994,E. Guigal,,2012
2494,Ermitage du Pic Saint Loup , Sainte Agnès,2011
2494,Ermitage du Pic Saint Loup , Sainte Agnès,2014
2494,Ermitage du Pic Saint Loup , Tour de Pierre,2012
2494,Ermitage du Pic Saint Loup , Tour de Pierre,2014
2453,Etang des Colombes , Bois des dames,2010
2820,François Chidaine,Baudoin,2015
2820,François Chidaine,Les Argiles,2015
2821,François Chidaine,,2010
2752,François Chidaine ,Clos Habert,2015
2752,François Chidaine ,Les Tuffeaux,2015
2751,François Chidaine , Clos du Breuil,2014
2751,François Chidaine , Les Choisilles,2014
2778,Frederic Mabileau , Coutures,2012
2778,Frederic Mabileau , Coutures,2013
2778,Frederic Mabileau , Les rouillères,2014
1821,Frederic Magnien,Les ruchots,2010
2668,Freres Not,L'hirondelle,2018
2668,Freres Not,Autre cuvée,2018
1098,Gautheron,,2015
2624,Gerard bertrand , Naturae Merlot,2013
2782,Gérard Boulay , Clos de Beaujeu,2013
2782,Gérard Boulay , Monts Damnés,2013
2708,Gigou,,2013
2000,Gilles Bouton,Sous la Pierre,2016
2822,Gilles Gaudron,,2017
1080,Gilles Jayer,,2013
3025,Gilles Robin , Cuvée des chassis,2012
2580,Gilles Troullier , L’ultim,2014
1051,Goisot,,2016
2325,Gonet ,Origine,2018
1540,Guffens-Heynen,En Crazy,2011
2668,Guillon,,2009
809,Hamet-Spay,,2020
10,Henri Gsell,Eichberg,2015
1330,Huguenot,,2015
5,J. Gsell,,2012
132,J.M Bernhard,,2013
2668,Jacky Blot,,2018
2770,Jacques Rouzé,Classique,2010
2770,Jacques Rouzé,Classique,2011
2770,Jacques Rouzé,Classique,2016
2770,Jacques Rouzé,Vieilles Vignes,2016
2770,Jacques Rouzé,Classique,2018
2770,Jacques Rouzé,Classique,2019
2374,Jacques Tissot,,1996
2087,Jaffelin,,2014
2958,Jaillance,,2011
876,Jean Fauré,,2011
810,Jean Foillard,,2014
810,Jean Marc Burgaud,Les charmes,2014
810,Jean Marc Burgaud,Cote du Py,2013
950,Jean Rocaut,,2011
1938,Jean Rocaut,,2010
2153,Jean Rocaut,,2011
2748,Jean Tellier,mademoiselle T,2019
10,JL & Fabienne Mann,Riesling Altenberger,2016
11,JL & Fabienne Mann,,2016
2680,Johann Spelty , Graviers,2005
8,Joseph Cattin,« Clos Madelon »,2012
3054,JP Lemenicier , Cuvée Elegance,2015
2961,JP Leminicier,,2012
2961,JP Leminicier,,2014
8,Kuentz Bas,,2016
3196,L’ephemere,,2012
2453,La Cendrillon , Classique,2013
2782,La clef du Récit,,2013
876,La Gaffelière,,2010
2820,La Galinière,Excellence,2016
1098,La Meulière,,2017
1128,La meulière,les Fourneaux,2020
3198,Lacapelle-Cabanac , Malbec XL,2010
1657,Latour,,2009
2240,Lebreuil,,2014
3025,Lemenicier,,2015
619,Leon Beyer,,1998
624,Leon Beyer,,2011
622,Leon Beyer,,1997
10,Leon Beyer , Cuvée des comtes d’eguishem,2010
4,Leon Beyer , Cuvée des comtes d’eguishem,2008
600,Léon Boesch,,2011
624,Léon Boesch,,2007
624,Léon Boesch,,2011
600,Léon Boesch,,2011
10,Léon Boesch,,2013
628,Léon Boesch,,2004
2961,Les Agathes,,2010
2499,Les chemins de carabote,,2007
2499,Les chemins de carabote,,2010
2528,Les combes Cachées,les Hauts de Siran,2017
2528,Les combes Cachées,Combe Violon,2018
2529,Les combes Cachées,Soleil Rouge,2018
2607,Les Creisses,,2006
2607,Les Creisses,,2013
2607,Les Creisses,,2014
2607,Les Creisses,,2016
2607,Les Creisses,,2020
2662,Les Hardieres,,2016
2693,Les Hardieres,,2016
2962,Les Hauts des Cheys,,2007
1476,Les héritiers du comte lafon ,Clos de la Crochette,2012
811,les longues tilles,,2009
2508,Les vignes oubliées,,2011
2508,Les vignes oubliées,,2012
3245,Lou Festayre (Lanusse),,2010
2742,Luneau Papin,Folle Blanche,2014
2742,Luneau Papin,Folle Blanche,2016
2742,Luneau Papin,Folle Blanche,2012
2754,Luneau Papin , Clos des Allées,2017
2754,Luneau Papin , Clos des lumières,2015
2754,Luneau Papin , Le L d’or,2014
2754,Luneau Papin , Terre de Pierre,2014
2754,Luneau Papin , Terre de Pierre,2016
2754,Luneau Papin , Terre de Pierre,2017
2785,Lycée Viticole,,2009
869,Lynch Bage,,2003
876,Lyon La Fleur,,2008
2155,Marcel Couturier , La cour des bois,2012
1,Marcel Deiss,Engelgarten,2015
1,Marcel Deiss,Grasberg,2012
1,Marcel Deiss,Gruenspiel,2015
864,Marquis de terme,,2011
3116,Martinelle,,2019
2647,Mas de Daumas Gassac,,2003
2974,Mas du Libian,Khayyâm,2018
2954,Mas Saint Louis,,2011
3198,Matthieu Cosse , Le sid,2003
1310,Melon (Henry de Vezelay),,2011
1331,Michel Magnien,« Seuvrées »,2014
1355,Michel Magnien , Les goulots,2009
3053,Michelas St Jemms,,2020
3052,Michelas St Jemms,,2020
3024,Michelas St Jemms,,2020
2191,Muzard,,2009
2668,Nathalie Aumasson,,2009
2668,Nathalie Aumasson,,2011
2668,Nathalie Omasson,,2010
2668,Nathalie Omasson,,2011
2328,Nicolas Feuillatte,,2019
1039,Nuiton Beauney,,2009
1331,Nuiton Beauney,,2011
1079,Nuiton Beauney,,2012
2680,Olga Raffaut,,2006
2680,Olga Raffaut,,2009
2680,Olga Raffaut, La Singulière,2010
2680,Olga Raffaut, Les Peuilles,2009
2680,Olga Raffaut, Les Picasses,1985
2680,Olga Raffaut, Les Picasses,2010
2680,Olga Raffaut,Les Picasses,2015
810,P. Ferraud,,2018
2713,Patrice Colin , Vieilles Vignes,2013
1080,Patrick hudelot, Les plançons,2010
1659,Paul Thevenin,,2009
2325,Philiponnat,,2016
2680,Philippe Alliet , Coteaux de Noiré,2013
2680,Philippe Alliet , L’huisserie,2013
1658,Philippe Pacalet,,2016
2680,Philippe Pichard,,2007
2619,Pierre et Soleil , La Galade,2013
2960,Pierre Jean Vila,Jardins Suspendus,2017
2325,Pierre Moncuit,Delos,2018
2325,Pierre Moncuit - Delos,Delos,2020
2790,Plessis Duval,,2011
949,Prunier,,2013
1179,Prunier,,2013
3027,Raspail (Chateau Saint Jean),,2012
2953,Raymond Usseglio,,2016
2954,Raymond Usseglio,Cuvée Impériale,2015
838,Reignac : grand vn,,2012
2784,René Carroi,,2010
2790,Rene Noël Legrand , La chaintrée,2005
2790,Rene Noël Legrand , La chaintrée,2006
2790,Rene Noël Legrand , La chaintrée,2009
2790,Rene Noël Legrand , La chaintrée,2010
2790,Rene Noël Legrand , Les Rogelins,2009
2790,Rene Noël Legrand , Les Rogelins,2010
2846,Rochebuffère , Caborne,2014
2846,Rochebuffère ,Negrette,2017
2846,Rochebuffère ,Pinot,2017
2846,Rochebuffère ,,2017
2846,Rochebuffère ,,2018
2846,Rochebuffère ,,2017
1967,Romanin,,2010
1179,Roux,,2006
2767,Saget,,2013
3065,Saint Jean du Barroux , L’argile,2010
2767,Serge Dagueneau & filles,Tradition,2020
2767,Serge Dagueneau & filles,Odyssée,2020
3236,Sève d’Automne,,2013
1826,Sigaut,,2010
2463,Sol Payré,Vertigo,2016
