Appellation,Domaine,Cuvée,Année,date_deg_min
1821,Frederic Magnien,Les ruchots,2010,2022
2668,Freres Not,L'hirondelle,2018,2022
2668,Freres Not,Autre cuvée,2018,2022
1098,Gautheron,,2015,2022
2624,Gerard bertrand,Naturae Merlot,2013,2022
2782,Gérard Boulay,Clos de Beaujeu,2013,2018
2782,Gérard Boulay,Monts Damnés,2013,2018
2708,Gigou,,2013,2022
2000,Gilles Bouton,Sous la Pierre,2016,2020
2822,Gilles Gaudron,,2017,
1080,Gilles Jayer,,2013,2019
3025,Gilles Robin,Cuvée des chassis,2012,2022
2580,Gilles Troullier,L’ultim,2014,2022
1051,Goisot,,2016,2022
2325,Gonet,Origine,2018,2022
1540,Guffens-Heynen,En Crazy,2011,2022
2668,Guillon,,2009,2022
809,Hamet-Spay,,2020,
10,Henri Gsell,Eichberg,2015,2020
1330,Huguenot,,2015,2018
5,J. Gsell,,2012,2022
132,J.M Bernhard,,2013,2022
2668,Jacky Blot,,2018,2021
2770,Jacques Rouzé,,2010,2022
2770,Jacques Rouzé,,2011,2022
2770,Jacques Rouzé,Classique,2016,2018
2770,Jacques Rouzé,Vieilles Vignes,2016,2018
2770,Jacques Rouzé,Classique,2018,2018
2770,Jacques Rouzé,Classique,2019,2018
2374,Jacques Tissot,,1996,2022
2087,Jaffelin,,2014,2019
2958,Jaillance,,2011,2022
876,Jean Fauré,,2011,2018
810,Jean Foillard,,2014,2022
810,Jean Marc Burgaud,Les charmes,2014,2022
810,Jean Marc Burgaud,Cote du Py,2013,2018
950,Jean Rocaut,,2011,2022
1938,Jean Rocaut,,2010,2022
2153,Jean Rocaut,,2011,2022
2748,Jean Tellier,mademoiselle T,2019,
10,JL & Fabienne Mann,Riesling Altenberger,2016,2019
11,JL & Fabienne Mann,,2016,2022
2680,Johann Spelty,Graviers,2005,2022
8,Joseph Cattin,« Clos Madelon »,2012,2022
3025,JP Lemenicier,,2015,2018
3054,JP Lemenicier,Cuvée Elegance,2015,2022
2961,JP Leminicier,,2012,2022
2961,JP Leminicier,,2014,2019
8,Kuentz Bas,,2016,
3196,L’ephemere,,2012,2022
2453,La Cendrillon,Classique,2013,2022
2782,La clef du Récit,,2013,2022
876,La Gaffelière,,2010,2020
2820,La Galinière,Excellence,2016,2018
1098,La Meulière,,2017,2020
1128,La Meulière,les Fourneaux,2020,
3198,Lacapelle-Cabanac,Malbec XL,2010,2022
1657,Latour,,2009,2015
2240,Lebreuil,,2014,2018
619,Léon Boesch,,1998,2022
624,Léon Boesch,,2011,2022
622,Léon Boesch,,1997,2022
10,Léon Boesch,Cuvée des comtes d’eguishem,2010,2022
4,Léon Boesch,Cuvée des comtes d’eguishem,2008,2022
600,Léon Boesch,,2011,2022
624,Léon Boesch,,2007,2015
624,Léon Boesch,,2011,2022
600,Léon Boesch,,2011,2016
10,Léon Boesch,,2013,2022
628,Léon Boesch,,2004,2014
2961,Les Agathes,,2010,2015
2499,Les chemins de carabote,,2007,2022
2499,Les chemins de carabote,,2010,2022
2528,Les combes Cachées,les Hauts de Siran,2017,2022
2528,Les combes Cachées,Combe Violon,2018,2022
2529,Les combes Cachées,Soleil Rouge,2018,2022
2607,Les Creisses,,2006,
2607,Les Creisses,,2013,2022
2607,Les Creisses,,2014,2022
2607,Les Creisses,,2016,2019
2607,Les Creisses,,2020,2023
2662,Les Hardieres,,2016,2022
2693,Les hardieres,,2016,2022
2962,Les Hauts des Cheys,,2007,2022
1476,Les héritiers du comte lafon,Clos de la Crochette,2012,2022
811,les longues tilles,,2009,2022
2508,Les vignes oubliées,,2011,2022
2508,Les vignes oubliées,,2012,2015
835,LIDL,,2011,2022
3245,Lou Festayre (Lanusse),,2010,2022
2742,Luneau Papin,Folle Blanche,2014,2022
2742,Luneau Papin,Folle Blanche,2016,
2742,Luneau Papin,Folle Blanche,2012,2022
2754,Luneau Papin,Clos des Allées,2017,
2754,Luneau Papin,Clos des lumières,2015,2022
2754,Luneau Papin,Le L d’or,2014,2022
2754,Luneau Papin,Terre de Pierre,2014,2022
2754,Luneau Papin,Terre de Pierre,2016,2022
2754,Luneau Papin,Terre de Pierre,2017,
2785,Lycée Viticole,,2009,2022
869,Lynch Bage,,2003,
876,Lyon La Fleur,,2008,2022
2155,Marcel Couturier,La cour des bois,2012,2022
1,Marcel Deiss,Engelgarten,2015,2020
1,Marcel Deiss,Grasberg,2012,2022
1,Marcel Deiss,Gruenspiel,2015,2022
864,Marquis de terme,,2011,2021
3116,Martinelle,,2019,2022
2647,Mas de Daumas Gassac,,2003,2022
2974,Mas du Libian,Khayyâm,2018,2022
2954,Mas Saint Louis,,2011,2019
3198,Matthieu Cosse,Le sid,2003,2022
1310,Melon (Henry de Vezelay),,2011,2022
1331,Michel Magnien,« Seuvrées »,2014,2019
1355,Michel Magnien,Les goulots,2009,2022
3053,Michelas St Jemms,,2020,
3052,Michelas St Jemms,,2020,
3024,Michelas St Jemms,,2020,
2191,Muzard,,2009,2022
2668,Nathalie Aumasson,,2009,
2668,Nathalie Aumasson,,2011,2022
2668,Nathalie Omasson,,2010,2022
2668,Nathalie Omasson,,2011,2022
2328,Nicolas Feuillatte,,2019,
1039,Nuiton Beauney,,2009,2015
1331,Nuiton Beauney,,2011,2022
1079,Nuiton Beauney,,2012,2022
