Cuvee,Provenance,statut,Cave,Ajouté_le,Emplacement,Prix
91,Achat Saumur Fevrier 18,à boire,4,01/03/2018,Clayette 9,"13,50€"
91,Achat Saumur Fevrier 18,à boire,4,01/03/2018,Clayette 9,"13,50€"
95,Achat Vente Privée Mars,à boire,4,30/04/2016,Clayette 9,"18,00€"
95,Achat Vente Privée Mars,à boire,4,30/04/2016,Clayette 9,"18,00€"
96,Salon Vignerons Independants,à boire,4,29/11/2019,Clayette 9,"21,00€"
96,Salon Vignerons Independants,à boire,4,29/11/2019,Clayette 9,"21,00€"
97,Cadeau Potes 2016,à boire,4,10/08/2016,Clayette 9,"0,00€"
97,Cadeau Potes 2016,à boire,4,10/08/2016,Clayette 9,"0,00€"
97,Cadeau Potes 2016,à boire,4,10/08/2016,Clayette 9,"0,00€"
97,Cadeau Potes 2016,à boire,4,10/08/2016,Clayette 9,"0,00€"
97,Cadeau Potes 2016,à boire,4,10/08/2016,Clayette 9,"0,00€"
98,Achat 1j1v Avril 2016,à boire,4,11/05/2016,Clayette 9,"23,00€"
101,Achat Saumur Fevrier 18,à boire,4,01/03/2018,Clayette 9,"14,50€"
101,Achat Saumur Fevrier 18,à boire,4,01/03/2018,Clayette 9,"14,50€"
102,Achat Saumur Fevrier 18,à boire,4,01/03/2018,Clayette 9,"20,00€"
106,Achat lot18.Fr Dec,à boire,4,12/12/2013,Clayette 2,"20,00€"
108,Foire aux vins monoprix 2018,à boire,4,18/09/2018,Clayette 3,"8,70€"
109,Achat WIB Mars 2016,à boire,4,18/03/2016,Clayette 9,"11,00€"
109,Achat WIB Mars 2016,à boire,4,18/03/2016,Clayette 9,"11,00€"
109,Achat WIB Mars 2016,à boire,4,18/03/2016,Clayette 9,"11,00€"
109,Achat WIB Mars 2016,à boire,4,18/03/2016,Clayette 9,"11,00€"
110,Cadeau Parents Anniversaire,à boire,4,10/08/2016,Clayette 9,"0,00€"
111,Vente Privée Aout 2019,à boire,4,14/09/2019,Clayette 5,"26,50€"
111,Vente Privée Aout 2019,à boire,4,14/09/2019,Clayette 5,"26,50€"
112,Achat FAV Monop 2015,à boire,4,27/09/2015,Clayette 9,"9,30€"
112,Achat FAV Monop 2015,à boire,4,27/09/2015,Clayette 9,"9,30€"
113,FAV Monop 2016,à boire,4,10/09/2016,Clayette 6,"10,00€"
113,FAV Monop 2016,à boire,4,10/09/2016,Clayette 6,"10,00€"
114,Achat FAV Monop 2015,à boire,4,11/09/2015,Clayette 6,"23,00€"
115,Achat Pierre-Rémi Juin 2015,à boire,4,12/06/2015,Clayette 9,"14,00€"
119,Foire aux vins wineandco 2014,à boire,4,17/09/2014,Clayette 4,"30,00€"
122,Achat lot18.Fr Mars 2014,à boire,4,18/03/2014,Clayette 4,"30,00€"
122,Achat lot18.Fr Mars 2014,à boire,4,18/03/2014,Clayette 4,"30,00€"
122,Achat lot18.Fr Mars 2014,à boire,4,18/03/2014,Clayette 4,"30,00€"
122,Achat lot18.Fr Mars 2014,à boire,4,18/03/2014,Clayette 4,"30,00€"
124,Foire aux vins wineandco 2014,à boire,4,17/09/2014,Clayette 4,"34,00€"
125,Achat 1j1v Mars 2016,à boire,4,08/04/2016,"Clayettes 2,4,5","12,00€"
125,Achat 1j1v Mars 2016,à boire,4,08/04/2016,"Clayettes 2,4,5","12,00€"
129,Achat Lot 18.fr,à boire,4,22/10/2013,Clayette 3 & 7,"9,20€"
131,Cadeau Pot depart 2014,à boire,4,19/09/2014,Clayette 4,"0,00€"
132,Vente Privée Aout 2019,à boire,4,14/09/2019,Clayette 5,"41,50€"
133,SVI Mars 2018,à boire,4,10/04/2018,Clayette 9,"16,00€"
133,SVI Mars 2018,à boire,4,10/04/2018,Clayette 9,"16,00€"
134,SVI Mars 2018,à boire,4,10/04/2018,Clayette 9,"12,50€"
134,SVI Mars 2018,à boire,4,10/04/2018,Clayette 9,"12,50€"
134,SVI Mars 2018,à boire,4,10/04/2018,Clayette 9,"12,50€"
134,SVI Mars 2018,à boire,4,10/04/2018,Clayette 9,"12,50€"
135,Achat Salon des vignerons Mars 14,à boire,4,30/03/2014,Clayette 6,"23,00€"
135,Achat Salon des vignerons Mars 14,à boire,4,30/03/2014,Clayette 6,"23,00€"
140,Cadeau Pierre-Paul-Jacques Juillet 2015,à boire,4,20/08/2015,Clayette 4,"0,00€"
142,Achat Saumur Fevrier 18,à boire,4,01/03/2018,Clayette 9,"15,00€"
142,Achat Saumur Fevrier 18,à boire,4,01/03/2018,Clayette 9,"15,00€"
143,WIB Jan 15,à boire,4,27/01/2015,Clayette 4,"23,00€"
144,Cadeau Noel 2019,à boire,4,06/03/2019,,
144,Cadeau Noel 2020,à boire,4,06/03/2019,,
144,Cadeau Noel 2021,à boire,4,06/03/2019,,
144,Cadeau Noel 2022,à boire,4,06/03/2019,,
144,Cadeau Noel 2023,à boire,4,06/03/2019,,
144,Cadeau Noel 2024,à boire,4,06/03/2019,,
150,Achat 1j1v Fevrier 19,à boire,4,20/02/2019,Clayette 9,"26,00€"
151,Achat 1j1v Mai 2016,à boire,4,01/06/2016,Clayette 9,"17,00€"
152,Achat Mariage Salomon-David 2020,à boire,4,14/07/2020,Clayette 7,"12,00€"
153,Achat Mariage Salomon-David 2020,à boire,4,14/07/2020,Clayette 7,"12,00€"
153,Achat Mariage Salomon-David 2020,à boire,4,14/07/2020,Clayette 7,"12,00€"
153,Achat Mariage Salomon-David 2020,à boire,4,14/07/2020,Clayette 7,"12,00€"
158,Anniversaire 2014,à boire,4,24/07/2014,Clayette 4,"0,00€"
158,Anniversaire 2014,à boire,4,24/07/2014,Clayette 4,"0,00€"
159,Noël 2012,à boire,4,24/12/2012,Clayette 4,"0,00€"
160,SVI Dec 21,à boire,4,02/12/2021,,"13,00€"
164,Achat 1j1v Dec 2015,à boire,4,18/12/2015,Clayette 4,"34,00€"
166,Achat 1j1v Oct 2017,à boire,4,01/10/2017,Clayette 2,"32,00€"
166,Achat 1j1v Oct 2017,à boire,4,01/10/2017,Clayette 2,"32,00€"
167,Achat Guillaume Aout,à boire,4,15/10/2016,Clayette 9,"22,00€"
167,Achat Guillaume Aout,à boire,4,15/10/2016,Clayette 9,"22,00€"
168,FAV Monop 2016,à boire,4,10/09/2016,Clayette 9,"22,00€"
169,Achat groupé collègues Mars 21,à boire,4,31/03/2021,Clayette 9,"9,50€"
169,Achat groupé collègues Mars 21,à boire,4,31/03/2021,Clayette 9,"9,50€"
170,Achat Papa,à boire,4,22/02/2016,Clayette 9,"14,00€"
170,Achat Papa,à boire,4,22/02/2016,Clayette 9,"14,00€"
176,SVI Nov 2019,à boire,4,29/11/2019,Clayette 9,"14,00€"
176,SVI Nov 2019,à boire,4,29/11/2019,Clayette 9,"14,00€"
177,SVI Nov 2019,à boire,4,29/11/2019,Clayette 9,"14,00€"
177,SVI Nov 2019,à boire,4,29/11/2019,Clayette 9,"14,00€"
179,Week-end St Emilion,à boire,4,16/04/2014,Clayette 3,"15,00€"
180,Achat 1j1v Avril 2018,à boire,4,25/04/2018,Clayette 9,"60,00€"
182,Cadeau Juillet 21,à boire,4,25/07/2021,Clayette 3,"12,00€"
189,Achat EVG Pierre-Emile,à boire,4,28/05/2016,Clayette 7,"9,10€"
189,Achat EVG Pierre-Emile,à boire,4,28/05/2016,Clayette 7,"9,10€"
191,fav Vente Privée 2016,à boire,4,15/10/2016,Clayette 6,"7,00€"
192,FAV Vente Privée 2017,à boire,4,01/01/2016,Clayette 9,"30,00€"
195,Vente forcée  Aout 2021,à boire,4,01/01/2021,Clayette 9,"6,50€"
195,Vente forcée  Aout 2021,à boire,4,01/01/2021,Clayette 9,"6,50€"
195,Vente forcée  Aout 2021,à boire,4,01/01/2021,Clayette 9,"6,50€"
199,Achat lot18.fr Nov,à boire,4,05/11/2014,Clayette 6,"29,00€"
209,Achat mal réfléchi Aout,à boire,4,15/10/2016,Clayette 1,"22,00€"
216,SVI Dec 21,à boire,4,02/12/2021,Clayette 4,"13,50€"
216,SVI Dec 21,à boire,4,02/12/2021,Clayette 4,"13,50€"
216,SVI Dec 21,à boire,4,02/12/2021,Clayette 4,"13,50€"
217,SVI Dec 21,à boire,4,02/12/2021,,"12,00€"
217,SVI Dec 21,à boire,4,02/12/2021,,"12,00€"
217,SVI Dec 21,à boire,4,02/12/2021,,"12,00€"
218,SVI Dec 21,à boire,4,02/12/2021,,"15,00€"
218,SVI Dec 21,à boire,4,02/12/2021,,"15,00€"
219,SVI Mars 2018,à boire,4,10/04/2018,Clayette 9,"17,00€"
219,SVI Mars 2018,à boire,4,10/04/2018,Clayette 9,"17,00€"
219,SVI Mars 2018,à boire,4,10/04/2018,Clayette 9,"17,00€"
221,Foire aux vins wineinblack 2014,à boire,4,08/09/2014,Clayette 7,"17,00€"
223,SVI Dec 21,à boire,4,02/12/2021,,"9,00€"
223,SVI Dec 21,à boire,4,02/12/2021,,"9,00€"
223,SVI Dec 21,à boire,4,02/12/2021,,"9,00€"
223,SVI Dec 21,à boire,4,02/12/2021,,"9,00€"
223,SVI Dec 21,à boire,4,02/12/2021,,"9,00€"
223,SVI Dec 21,à boire,4,02/12/2021,,"9,00€"
226,Vente Privée Aout 2019,à boire,4,14/09/2019,Clayette 1,"28,00€"
226,Vente Privée Aout 2019,à boire,4,14/09/2019,Clayette 1,"28,00€"
227,Vente Privée Aout 2019,à boire,4,14/09/2019,Clayette 5,"16,00€"
234,Achat Vouvray Avril 2013,à boire,4,10/08/2013,Clayette 5,0
235,Achat Anniversaire 2020,à boire,4,14/07/2020,Clayette 7,"7,00€"
235,Achat Anniversaire 2020,à boire,4,14/07/2020,Clayette 7,"7,00€"
235,Achat Anniversaire 2020,à boire,4,14/07/2020,Clayette 7,"7,00€"
235,Achat Anniversaire 2020,à boire,4,14/07/2020,Clayette 7,"7,00€"
235,Achat Anniversaire 2020,à boire,4,14/07/2020,Clayette 7,"7,00€"
235,Achat Anniversaire 2020,à boire,4,14/07/2020,Clayette 7,"7,00€"
235,Achat Anniversaire 2020,à boire,4,14/07/2020,Clayette 7,"7,00€"
235,Achat Anniversaire 2020,à boire,4,14/07/2020,Clayette 7,"7,00€"
238,1j1v Fevrier 2022,à boire,4,20/02/2022,Clayette 1,"21,50€"
238,1j1v Fevrier 2022,à boire,4,20/02/2022,Clayette 1,"21,50€"
238,1j1v Fevrier 2022,à boire,4,20/02/2022,Clayette 1,"21,50€"
240,Achat Salon des Péniches qui boitent 2015,à boire,4,06/08/2015,Clayette 7,"7,00€"
241,Achat Salon des Péniches qui boitent 2015,à boire,4,06/08/2015,Clayette 1,"9,70€"
247,"""Cadeau"" Noël 2015",à boire,4,26/12/2015,Clayette 7,"0,00€"
248,SVI Nov 2019,à boire,4,29/11/2019,Clayette 9,"14,00€"
248,SVI Nov 2019,à boire,4,29/11/2019,Clayette 9,"14,00€"
248,SVI Nov 2019,à boire,4,29/11/2019,Clayette 9,"14,00€"
251,SVI Nov 2019,à boire,4,29/11/2019,Clayette 1,"35,00€"
255,Virée dans le Sud Emile-Paul-Pierre,à boire,4,24/07/2012,Clayette 2,0
255,Virée dans le Sud Emile-Paul-Pierre,à boire,4,24/07/2012,Clayette 2,0
256,Virée dans le Sud Emile-Paul-Pierre,à boire,4,24/07/2014,Clayette 4,"0,00€"
256,Virée dans le Sud Emile-Paul-Pierre,à boire,4,24/07/2014,Clayette 4,"0,00€"
256,Virée dans le Sud Emile-Paul-Pierre,à boire,4,24/07/2014,Clayette 4,"0,00€"
256,Virée dans le Sud Emile-Paul-Pierre,à boire,4,24/07/2014,Clayette 4,"0,00€"
256,Virée dans le Sud Emile-Paul-Pierre,à boire,4,24/07/2014,Clayette 4,"0,00€"
256,Virée dans le Sud Emile-Paul-Pierre,à boire,4,24/07/2014,Clayette 4,"0,00€"
259,Achat 1j1v Jan 18,à boire,4,25/04/2018,Clayette 9,"25,00€"
259,Achat 1j1v Jan 18,à boire,4,25/04/2018,Clayette 9,"25,00€"
259,Achat 1j1v Jan 18,à boire,4,25/04/2018,Clayette 9,"25,00€"
259,Achat 1j1v Jan 18,à boire,4,25/04/2018,Clayette 9,"25,00€"
259,Achat 1j1v Jan 18,à boire,4,25/04/2018,Clayette 9,"25,00€"
260,Achat 1j1v Jan 18,à boire,4,25/04/2018,Clayette 9,"31,50€"
260,Achat 1j1v Jan 18,à boire,4,25/04/2018,Clayette 9,"31,50€"
260,Achat 1j1v Jan 18,à boire,4,25/04/2018,Clayette 9,"31,50€"
261,Cadeau Pot départ Nestor 2020,à boire,4,28/08/2020,Clayette 1,"0,00€"
262,SVI Dec 21,à boire,4,02/12/2021,,
262,SVI Dec 21,à boire,4,02/12/2021,,
263,SVI Dec 21,à boire,4,02/12/2021,,"14,00€"
1,Vap.com,bue,4,06/02/2020,Clayette 1 & 6,"19,00€"
1,Vap.com,bue,4,06/02/2020,Clayette 1 & 6,"19,00€"
1,Vap.com,bue,4,06/02/2020,Clayette 1 & 6,"19,00€"
1,Vap.com,bue,4,06/02/2020,Clayette 1 & 6,"19,00€"
4,Achat wineandco Avril 2016,bue,4,08/04/2016,Clayettes 1 & 7,"16,65"
4,Achat wineandco Avril 2016,bue,4,08/04/2016,Clayettes 1 & 7,"16,65"
4,Achat wineandco Avril 2016,bue,4,08/04/2016,Clayettes 1 & 7,"16,65"
4,Achat wineandco Avril 2016,bue,4,08/04/2016,Clayettes 1 & 7,"16,65"
4,Achat wineandco Avril 2016,bue,4,08/04/2016,Clayettes 1 & 7,"16,65"
4,Achat wineandco Avril 2016,bue,4,08/04/2016,Clayettes 1 & 7,"16,65"
5,Achat Collègue Insistant Mars 18,bue,4,25/04/2018,Clayettes 1 & 7,17
5,Achat Collègue Insistant Mars 18,bue,4,25/04/2018,Clayettes 1 & 7,17
5,Achat Collègue Insistant Mars 18,bue,4,25/04/2018,Clayettes 1 & 7,17
5,Achat Collègue Insistant Mars 18,bue,4,25/04/2018,Clayettes 1 & 7,17
5,Achat Collègue Insistant Mars 18,bue,4,25/04/2018,Clayettes 1 & 7,17
5,Achat Collègue Insistant Mars 18,bue,4,25/04/2018,Clayettes 1 & 7,17
8,Achat Vente privée Nov 2015,bue,4,15/02/2016,Clayette 9,33
9,Achat Vente privée Nov 2015,bue,4,31/12/2015,Clayette 9,39
10,Achat Vente privée Nov 2015,bue,4,31/12/2015,Clayette 9,23
11,SVI Nov 2016,bue,4,25/11/2016,Clayette 9,"25,00€"
11,SVI Nov 2016,bue,4,25/11/2016,Clayette 9,"25,00€"
11,SVI Nov 2016,bue,4,25/11/2016,Clayette 9,"25,00€"
13,Achat 1j1v Nov 2016,bue,4,17/12/2016,Clayette 6,12
13,Achat 1j1v Nov 2016,bue,4,17/12/2016,Clayette 6,12
14,SVI Dec 21,bue,4,02/12/2021,,"12,70€"
14,SVI Dec 21,bue,4,02/12/2021,,"12,70€"
17,Cadeau Julien,bue,4,09/07/2011,Clayette 4,0
19,Cadeau Tata Jacqueline Noël 2014,bue,4,25/12/2014,Clayette 7,0
22,Achat WIB Mars 2016,bue,4,18/03/2016,Clayette 9,10
22,Achat WIB Mars 2016,bue,4,18/03/2016,Clayette 9,10
24,SVI Dec 21,bue,4,02/12/2021,,"10,60€"
26,Achats Vignerons Indep Avril 2015,bue,4,12/05/2015,Clayette 1,13
28,Achats Vignerons Indep Avril 2015,bue,4,12/05/2015,Clayette 1,12
29,Cadeau Noël 2014,bue,4,25/12/2014,P,0
34,Salon des VI Mars 2015,bue,4,29/03/2015,Clayette 1 & 4,"8,9"
34,Salon des VI Mars 2015,bue,4,29/03/2015,Clayette 1 & 4,"8,9"
35,Salon des VI Mars 2015,bue,4,29/03/2015,Clayette 1 & 3,"7,7"
35,Salon des VI Mars 2015,bue,4,29/03/2015,Clayette 1 & 3,"7,7"
35,Salon des VI Mars 2015,bue,4,29/03/2015,Clayette 1 & 3,"7,7"
36,SVI Mars 2017,bue,4,28/04/2017,Clayette 1,9
36,SVI Mars 2017,bue,4,28/04/2017,Clayette 1,9
36,SVI Mars 2017,bue,4,28/04/2017,Clayette 1,9
36,SVI Mars 2017,bue,4,28/04/2017,Clayette 1,9
36,SVI Mars 2017,bue,4,28/04/2017,Clayette 1,9
36,SVI Mars 2017,bue,4,28/04/2017,Clayette 1,9
39,Achat 1j1v Avril 2016,bue,4,11/05/2016,Clayette 9,24
39,Achat 1j1v Avril 2016,bue,4,11/05/2016,Clayette 9,24
40,Achat 1j1v Avril 2016,bue,4,11/05/2016,Clayette 9,"12,5"
42,Achat 1j1v Avril 2016,bue,4,11/05/2016,Clayette 9,22
42,Achat 1j1v Avril 2016,bue,4,11/05/2016,Clayette 9,22
44,Achat Avril 14,bue,4,16/04/2014,Clayette 7,"13,00€"
45,Cadeau Onc' Picsou,bue,4,22/10/2011,Clayette 2,0
47,Salon des VI Mars 2015,bue,4,29/03/2015,Clayette 1,11
47,Salon des VI Mars 2015,bue,4,29/03/2015,Clayette 1,11
47,Salon des VI Mars 2015,bue,4,29/03/2015,Clayette 1,11
48,Salon des VI Mars 2015,bue,4,29/03/2015,Clayette 4 & 5,13
49,SVI Mars 2017,bue,4,28/04/2017,Clayette 9,"29,00€"
50,SVI Mars 2017,bue,4,28/04/2017,Clayette 9,0
54,Achat 1j1v Juin 2015 (2),bue,4,04/07/2015,Clayette 4,27
55,Achat 1j1v Juin 2015 (2),bue,4,04/07/2015,Clayette 2,"17,5"
56,Achat 1j1v Juin 2015 (2),bue,4,04/07/2015,Clayette 1,21
56,Achat 1j1v Juin 2015 (2),bue,4,04/07/2015,Clayette 1,21
60,Cadeau Papa,bue,4,20/03/2016,Clayette 9,0
61,Noël Hourlier 2012,bue,4,24/12/2012,Clayette 5,0
62,Soirée Julie,bue,4,20/02/2016,Clayette 5,0
